[0003.38-0007.62] 同學們好,歡迎大家來到我的計算機組成原理微課堂
[1542.13-1543.17] 尾數越多
[1543.17-1545.95] 能表示的數據範圍就越大
[1545.95-1549.49] 尾數的尾數決定了數據的表示精度
[1549.49-1551.09] 接馬程度相同時
[1551.09-1553.25] 分配給尾數的尾數越多
[1553.25-1556.30] 數據表示的精度就越高
[1556.30-1557.42] 綜上所述
[1557.42-1561.18] 本題的答案是選項C
[1561.18-1563.02] 再來做習題3
[1563.02-1565.66] 請同學們暫停播放視頻
[1565.66-1567.18] 動手練習一下
[1567.26-1572.85] 然後給出你的答案
[1572.85-1575.33] 本題的答案是選項D
[1575.33-1577.17] 大家都選對了嗎
[1577.17-1579.55] 我們來一起分析一下
[1579.55-1581.31] 這是我們之前介紹的
[1581.31-1584.27] 浮電數的表示範圍及舉例
[1584.27-1586.19] 而這是我們之前介紹的
[1586.19-1587.71] 浮電數的表示範圍
[1587.71-1590.59] 在數軸上的表示情況
[1590.59-1591.95] 題目要求我們計算
[1591.95-1595.46] 給定浮電數所能表示的最大正數
[1595.46-1597.78] 儘管題目給定接馬和尾數
[1597.78-1599.89] 都採用補碼表示
[1599.97-1602.29] 但是對於最大正數
[1602.29-1605.73] 其接馬和尾數都取最大正值
[1605.73-1607.57] 因此接馬和尾數
[1607.57-1608.93] 各自的補碼表示
[1608.93-1612.24] 與他們各自的圓碼表示相同
[1612.24-1613.68] 這樣數軸上
[1613.68-1615.44] 這個最大正數的表達式
[1615.44-1619.31] 就是浮電數所能表示的最大正數
[1619.31-1621.71] 將題目給定的相關椅質量
[1621.71-1623.76] 代入該表達式
[1623.76-1627.36] 其中三是接馬的數值部分的位數
[1627.36-1629.60] 而二到三次方減1
[1629.60-1631.76] 是接馬的最大值
[1631.76-1634.70] 7是尾數的數值部分的位數
[1634.70-1637.34] 而1減去2的負7次方
[1637.34-1639.68] 是尾數的最大值
[1639.68-1643.20] 計算結果為2的7次方減1
[1643.20-1644.40] 從上所述
[1644.40-1647.49] 本題的答案是選項第
[1647.49-1648.29] 好的
[1648.29-1650.69] 本節課到這裡就結束了
[1650.69-1653.17] 請同學們快速回憶一下
[1653.17-1667.73] 本節課的主要內容
[1667.73-1668.53] 同學們
[1668.53-1670.05] 我們下節課見
