[0003.12-0007.36] 同学们好,欢迎大家来到我的计算机组成员里韦克唐
[1588.97-1591.85] 需要进行数据块替换的情况
[1591.85-1593.05] 这种情况下
[1593.05-1596.57] 命中率与之前的情况是一样的
[1596.65-1597.69] 通上所说
[1597.69-1598.97] 我们不能发现
[1598.97-1601.69] 程序A中对数组A的所有访问
[1601.69-1603.77] 都符合上述规律
[1603.77-1607.05] 因此命中率H计算如下
[1607.05-1609.21] 也就是每16次读取
[1609.21-1611.61] 就有15次命中
[1611.61-1613.29] 其本质原因在于
[1613.29-1615.85] 程序A中数组A的访问顺序
[1615.85-1618.33] 与存储顺序是相同的
[1618.33-1621.54] 具有较好的空间局不幸
[1621.54-1623.14] 我们再来分析程序B的
[1623.14-1625.00] 数据访问命中率
[1625.00-1626.44] 我们首先写出
[1626.44-1629.99] 程序B中对数组A的读取序列
[1629.99-1631.51] 这是对数组A的
[1631.51-1633.75] 第0行到第15行
[1633.75-1638.06] 各自的第0列元素进行读取的序列
[1638.06-1642.06] 这是对数组A的第16行到第31行
[1642.06-1645.93] 各自的第0列元素进行读取的序列
[1645.93-1647.21] 以此类推
[1647.21-1649.93] 读取了各行的第0列元素后
[1649.93-1653.70] 又要一次读取各行的第一列元素
[1653.70-1655.14] 以此类推
[1655.14-1657.30] 直到数组A中的所有元素
[1657.30-1659.32] 都被读取出来
[1659.32-1660.52] 出示状态下
[1660.52-1661.80] 开始围空
[1661.80-1664.12] 对数组A中的首个元素
[1664.12-1666.76] 也就是第0行第0列的元素
[1666.76-1668.28] 进行读取时
[1668.28-1670.12] 会出现数据歇施
[1670.12-1671.96] 也就是未命中
[1671.96-1672.84] 因此
[1672.84-1674.36] 再入该元素所在
[1674.36-1677.48] 主存数据块的相应的开场
[1677.48-1679.80] 这样就将主存数据块中
[1679.80-1682.20] 该元素后续的15元素
[1682.20-1684.47] 也再入到了开始中
[1684.47-1685.43] 然而
[1685.51-1686.39] 程序B
[1686.39-1688.31] 接下来要读取的元素
[1688.31-1691.19] 也就是第1行第0列的元素
[1691.19-1693.67] 并不在这15个元素之中
[1693.67-1695.51] 出现数据歇施
[1695.51-1696.39] 因此
[1696.39-1697.51] 又要再入这个
[1697.51-1698.63] 带读取元素
[1698.63-1702.10] 所在主存数据块的相应的开场
[1702.10-1704.18] 这会导致该开始行中的
[1704.18-1706.68] 主存数据块被替换
[1706.68-1707.80] 这是因为
[1707.80-1709.64] 在执行程序B的内层
[1709.64-1711.08] 造循环时
[1711.08-1713.40] 不同行的同一列数组元素
[1713.40-1715.59] 对应同一个开场
[1715.59-1716.39] 例如
[1716.39-1718.07] 第0行第0列
[1718.07-1719.67] 第1行第0列
[1719.67-1721.43] 一直到第255行
[1721.43-1722.95] 第0列的元素
[1722.95-1725.66] 每个都对应开场5
[1725.66-1726.54] 第一次读取
[1726.54-1728.78] 第0行第0列的元素时
[1728.78-1730.70] 出现数据歇施
[1730.70-1731.98] 再入主存中
[1731.98-1734.71] 相应数据块到开场5
[1734.71-1735.75] 第二次读取
[1735.75-1737.67] 第1行第0列的元素
[1737.67-1740.07] 人会出现数据歇施
[1740.07-1740.71] 主存中
[1740.71-1743.85] 相应数据块替换到开场5
[1743.85-1745.13] 以此类推
[1745.13-1746.97] 数组A中的所有元素
[1746.97-1748.57] 都无法命中
[1748.57-1751.69] 因此命中率等于0
[1751.69-1752.41] 至此
[1752.41-1753.93] 我们就要计算出了
[1753.93-1756.41] 程序A的数据访问命中率为
[1756.41-1758.79] 93.75%
[1758.79-1762.12] 程序B的数据访问命中率为0
[1762.12-1765.64] 由于开始的访问速度远高于主存
[1765.64-1766.44] 因此
[1766.44-1769.35] 程序A的执行时间更短
[1769.35-1770.07] 这样
[1770.07-1771.19] 我们就要完成了
[1771.19-1774.41] 这道408综合大学的解答
[1774.41-1775.21] 好的
[1775.29-1777.77] 本节课到这里就结束了
[1777.77-1778.65] 同学们
[1778.65-1780.09] 我们下节课见
