[0003.47-0007.79] 同学们好,欢迎大家来到我的计算机组成员里威克唐
[1621.75-1623.08] 选项A
[1623.08-1624.12] 选项A
[1624.12-1625.40] 选项A
[1625.40-1626.76] 选项A
[1626.76-1627.88] 选项A
[1628.04-1629.00] 选项A
[1629.00-1629.92] 选项A
[1629.92-1630.88] 选项A
[1630.88-1632.16] 选项A
[1632.16-1633.28] 选项A
[1633.28-1634.28] 选项A
[1634.28-1635.28] 选项A
[1635.28-1636.28] 选项A
[1636.28-1637.36] 选项A
[1637.36-1638.94] 选项A
[1638.94-1639.94] 选项A
[1639.94-1640.94] 选项A
[1640.94-1641.94] 选项A
[1641.94-1642.94] 选项A
[1642.94-1643.94] 选项A
[1643.94-1644.94] 选项A
[1644.94-1645.97] 选项A
[1645.97-1646.97] 选项A
[1646.97-1647.97] 选项A
[1647.97-1648.97] 选项A
[1648.97-1649.97] 选项A
[1649.97-1650.97] 选项A
[1650.97-1651.97] 选项A
[1651.97-1652.97] 选项A
[1652.97-1653.97] 选项A
[1653.97-1654.97] 选项A
[1654.97-1655.97] 选项A
[1655.97-1656.97] 选项A
[1656.97-1657.97] 选项A
[1657.97-1664.82] 本題的答案是選項A 大家都選對了嗎?
[1664.82-1668.07] 本題的解答過程如下所示
[1668.07-1673.31] 這與我們之前剛剛介紹過的立體一解題過程是完全一樣的
[1673.31-1679.45] 唯一的不同點是 本題的接馬異的爭執為戶二是個附數
[1679.45-1681.49] 本節課的最後一個內容是
[1681.49-1686.01] 推導出I-754單精度浮鏈數的表示範圍
[1686.01-1690.61] 這是我們之前已經得出的 I-754單精度浮鏈數
[1690.61-1692.61] 和表示的各類數
[1692.61-1698.21] 我們需要推導的是規格化數和非規格化數各自的表示範圍
[1698.21-1700.14] 我們來一起推導
[1700.14-1703.37] 首先來推導規格化正數最大值
[1703.37-1707.59] 這需要通過規格化正數的真值表達式來推導
[1707.59-1711.39] 這是推導出的規格化正數最大值的表達式
[1711.39-1713.29] 我們來解釋一下
[1713.29-1716.49] 符號位S取0表示正數
[1716.49-1720.55] 基數二的指數取其能夠取到的最大值
[1720.75-1723.55] 而尾數M的各個位都取一
[1723.55-1726.58] 也就是取尾數M的最大值
[1726.58-1730.74] 將尾數M的1.M形式轉換成實境制
[1730.74-1735.18] 可能有些同學會糾結這個式子是怎麼來的
[1735.18-1740.08] 實際上將尾數M的1.M形式按權展開相加
[1740.08-1743.90] 就可以看出這是一個等比數列的球合
[1743.90-1747.10] 這是規格化正數最大值的近似值
[1747.10-1750.06] 方面我們感受它到底有多大
[1750.16-1753.16] 再來推導規格化正數最小值
[1753.16-1757.39] 這需要通過規格化正數的真值表達式來推導
[1757.39-1762.01] 這是推導出的規格化正數最小值的表達式
[1762.01-1764.81] 符號位S取0表示正數
[1764.81-1768.51] 基數二的指數取其能夠取到的最小值
[1768.51-1771.21] 而尾數M的各個位都取0
[1771.21-1774.21] 也就是取尾數M的最小值
[1774.21-1777.27] 整理可得規格化正數最小值
[1777.27-1780.07] 再來推導規格化附數的最大值
[1780.07-1782.17] 取正數最小值的相反數
[1782.17-1784.69] 就可得到附數最大值
[1784.69-1787.65] 再來推導規格化附數的最小值
[1787.65-1789.95] 取正數最大值的相反數
[1789.95-1792.89] 就可得到附數最小值
[1792.89-1795.49] 對於非規格化數的表示範圍
[1795.49-1799.19] 同學們可參照規格化數的表示範圍的推導過程
[1799.19-1802.05] 自行推導就不再追數了
[1802.05-1807.75] 另外,參照H5754單經度輔典數表示範圍的推導過程
[1807.75-1812.65] 還可以推導出H5754雙經度輔典數的表示範圍
[1812.65-1814.91] 我們就不再追數了
[1814.91-1817.71] 接下來,請同學們趁熱打鐵
[1817.71-1821.35] 挑戰這道408相關整體
[1821.35-1823.75] 請同學們暫停播放視頻
[1823.75-1830.59] 動手練習一下,然後給出你的答案
[1830.59-1832.89] 本題的答案是選項第
[1832.89-1834.79] 大家都選對了嗎?
[1834.79-1837.48] 我們來一起分析一下
[1837.48-1839.38] 這是我們剛剛推導過的
[1839.38-1841.78] H5754單經度輔典數的
[1841.78-1843.34] 表示範圍
[1843.34-1846.64] 本題考察H5754單經度輔典數
[1846.64-1849.34] 能表示的最大正整數
[1849.34-1853.04] 想想看,這實際上就是我們之前推導過的
[1853.04-1855.34] 規則化正數最大值
[1855.34-1859.17] 該值約為3.4乘以10的38字方
[1859.17-1861.67] 根據本題的四個選項的內容
[1861.67-1864.47] 我們需要對這部分進行劃減
[1864.47-1866.77] 這樣就得出了本題的正確答案
[1866.77-1868.73] 因為選項第
[1868.73-1871.53] 再來做2018年的題14
[1871.63-1874.13] 請同學們暫停播放視頻
[1874.13-1875.73] 動手練習一下
[1875.73-1880.49] 然後給出你的答案
[1880.49-1882.59] 本題的答案是選項A
[1882.59-1884.39] 大家都選對了嗎?
[1884.39-1886.72] 我們來一起分析一下
[1886.72-1888.72] 這是我們剛剛推導過的
[1888.72-1892.88] H5754單經度輔典數的表示範圍
[1892.88-1896.28] 本題考察H5754單經度輔典數
[1896.28-1899.32] 能表示的最小規格化正數
[1899.32-1901.32] 而我們已經推導過了
[1901.32-1904.65] 就不再贅述了
[1904.65-1907.55] 再來做2021年的題14
[1907.55-1910.15] 請同學們暫停播放視頻
[1910.15-1911.75] 動手練習一下
[1911.75-1918.62] 然後給出你的答案
[1918.62-1920.72] 本題的答案是選項A
[1920.72-1922.42] 大家都選對了嗎?
[1922.42-1924.79] 我們來一起分析一下
[1924.79-1927.09] 在之前的敬畏基礎制
[1927.09-1930.29] 及其數據之間的相互轉換的那些課中
[1930.29-1931.79] 我們曾介紹過
[1931.79-1934.89] 時間值小數轉換成二定值小數時
[1934.89-1937.69] 可能出現無限循環小數
[1937.69-1940.59] 只能轉換到符合精度要求的位數
[1940.59-1942.85] 即所謂的精度缺失
[1942.85-1946.45] 而H5754浮電數格式的位數有限
[1946.45-1948.25] 單經度為32位
[1948.25-1950.15] 雙經度為64位
[1950.15-1954.51] 因此無法精確表示無限循環小數
[1954.51-1956.65] 將題目給定的四個選項中的
[1956.65-1960.61] 時間值數轉換成二定值數就會發現
[1960.61-1963.41] 只有選項A中的時間值數1.2
[1963.41-1965.31] 轉換成二定值數時
[1965.31-1967.61] 會出現無限循環小數
[1967.71-1971.81] 不能用H5754浮電數格式精確表示
[1971.81-1975.72] 因此本題的答案就是選項A
[1975.72-1978.42] 由於H5754浮電數格式
[1978.42-1981.52] 無法精確表示無限循環小數
[1981.52-1984.52] 因此通常只能採用捨入的方式
[1984.52-1985.92] 盡次表示
[1985.92-1988.52] 但這會帶來數據表示的誤差
[1988.52-1992.22] 這種誤差會在計算過程中不斷累積放大
[1992.22-1994.72] 可能導致嚴重後果
[1994.72-1996.42] 我們來舉例說明
[1996.42-1999.42] 假設採用雙經度浮電數運算
[1999.42-2002.36] 則這個式子不會成立
[2002.36-2005.50] 這個式子也不會成立
[2005.50-2008.25] 這個式子也不會成立
[2008.25-2010.95] 這顯然有備於我們的常識
[2010.95-2012.15] 綜上所說
[2012.15-2015.05] 程序員使用二定值浮電數編成時
[2015.05-2016.95] 一定要非常小心
[2016.95-2018.35] 要充分考慮
[2018.35-2021.55] 浮電數運算可能帶來的計算誤差
[2021.55-2024.85] 儘量避免對浮電數進行直接比較
[2024.85-2027.75] 在一些對誤差極其敏感的情況下
[2027.75-2031.58] 建議採用實境制浮電數進行運算
[2031.58-2033.08] 需要說明的是
[2033.08-2033.98] 本節課
[2033.98-2037.58] 我們只介紹了HM1754浮電數標準中的
[2037.58-2041.38] 單經度浮電數標準和雙經度浮電數標準
[2041.38-2044.58] 實際上HM1754浮電數標準中
[2044.58-2047.08] 還包含有其他浮電數標準
[2047.08-2052.58] 並且HM1754標準在2008年重新進行修訂
[2052.58-2054.78] 表格中帶有背景色的標準
[2054.78-2057.67] 就是2008年新增標準
[2057.77-2058.47] 好的
[2058.47-2060.87] 本節課到這裡就結束了
[2060.87-2085.31] 請同學們快速回憶一下本節課的主要內容
[2085.31-2086.11] 同學們
[2086.11-2087.31] 我們下節課見
