[0003.44-0007.44] 同学们好,欢迎大家来到我的计算机组成原理微课堂。
[1826.16-1827.16] ADDI指令,
[1827.16-1828.16] ADD指令,
[1828.16-1830.16] 各自的执行周期的第二节拍,
[1830.16-1832.16] 包含有运算通路,
[1832.16-1834.83] 需要说明的是,
[1834.83-1835.83] 实际上,
[1835.83-1837.83] 每条指令执行完毕后,
[1837.83-1839.83] 还会进行一些公共操作,
[1839.83-1842.83] 通常用于处理外部设备的还有请求,
[1842.83-1844.83] 如果在公共操作阶段,
[1844.83-1846.83] 发现有外部设备中断请求,
[1846.83-1848.83] 则会进入中断响应阶段,
[1848.83-1850.83] 进行保存弹点,
[1850.83-1853.83] 和在入中断幅程序日后地址到PC的操作,
[1853.83-1854.83] 否则,
[1854.83-1857.93] 直接进入下一条指令的取指令阶段,
[1857.93-1859.93] 有关中断的相关知识,
[1859.93-1861.93] 将在本章后续部分,
[1861.93-1862.93] 进行详细介绍,
[1862.93-1865.93] 本节课就不再深入展开了,
[1865.93-1867.18] 另外,
[1867.18-1870.18] 取指令也属于公共操作,
[1870.18-1871.18] 也就是,
[1871.18-1873.18] 每条指令都会进行的操作,
[1873.18-1874.41] 好的,
[1874.41-1876.41] 本节课到这里就结束了,
[1876.41-1879.41] 请同学们快速回忆一下,
[1879.41-1881.41] 本节课的主要内容,
[1881.41-1901.74] 我们下节课见!
